날짜,월세
2016-01-01,6.00925
2016-01-02,6.32627
2016-01-03,6.99116
2016-01-04,10.03506
2016-01-05,9.7966
2016-01-06,10.63823
2016-01-07,12.6834
2016-01-08,11.78846
2016-01-09,8.2508
2016-01-10,13.78875
2016-01-11,18.36162
2016-01-12,21.56263
2016-01-13,12.41127
2016-01-14,13.44648
2016-01-15,15.48884
2016-01-16,8.00673
2016-01-17,7.96745
2016-01-18,10.28194
2016-01-19,9.70402
2016-01-20,9.31968
2016-01-21,9.73488
2016-01-22,9.72366
2016-01-23,6.42165
2016-01-24,6.64328
2016-01-25,10.23986
2016-01-26,12.4758
2016-01-27,15.82269
2016-01-28,25.0049
2016-01-29,13.49698
2016-01-30,8.28447
2016-01-31,8.3013
2016-02-01,16.56333
2016-02-02,13.84766
2016-02-03,16.74288
2016-02-04,13.44368
2016-02-05,12.84892
2016-02-06,7.69813
2016-02-07,5.60246
2016-02-08,5.24056
2016-02-09,5.984
2016-02-10,7.27451
2016-02-11,14.08893
2016-02-12,11.26385
2016-02-13,7.26329
2016-02-14,7.30537
2016-02-15,14.55183
2016-02-16,12.43372
2016-02-17,11.68186
2016-02-18,12.57118
2016-02-19,12.1672
2016-02-20,8.02917
2016-02-21,8.44157
2016-02-22,12.62729
2016-02-23,15.08205
2016-02-24,12.4253
2016-02-25,9.4347
2016-02-26,7.03604
2016-02-27,15.68803
2016-02-28,20.45728
2016-02-29,14.33581
2016-03-01,12.50385
2016-03-02,16.89156
2016-03-03,13.23046
2016-03-04,11.76883
2016-03-05,9.97054
2016-03-06,9.61705
2016-03-07,10.32683
2016-03-08,9.20746
2016-03-09,7.87207
2016-03-10,7.01921
2016-03-11,6.97713
2016-03-12,6.19722
2016-03-13,6.86772
2016-03-14,7.54102
2016-03-15,6.89858
2016-03-16,7.13143
2016-03-17,7.45406
2016-03-18,7.10899
2016-03-19,6.30382
2016-03-20,7.09215
2016-03-21,8.18908
2016-03-22,7.38673
2016-03-23,7.20157
2016-03-24,6.7555
2016-03-25,6.41043
2016-03-26,5.74274
2016-03-27,6.806
2016-03-28,7.31378
2016-03-29,7.02482
2016-03-30,6.41043
2016-03-31,6.41324
2016-04-01,6.10744
2016-04-02,5.35558
2016-04-03,6.186
2016-04-04,6.97994
2016-04-05,6.01767
2016-04-06,6.56754
2016-04-07,6.41043
2016-04-08,6.05133
2016-04-09,5.3135
2016-04-10,6.08219
2016-04-11,6.14953
2016-04-12,6.22808
2016-04-13,5.65296
2016-04-14,6.78636
2016-04-15,6.23649
2016-04-16,5.45097
2016-04-17,6.20844
2016-04-18,7.07252
2016-04-19,6.74708
2016-04-20,7.2184
2016-04-21,7.30537
2016-04-22,6.99116
2016-04-23,6.08781
2016-04-24,6.97994
2016-04-25,9.95651
2016-04-26,8.11053
2016-04-27,8.9213
2016-04-28,6.58156
2016-04-29,6.43287
2016-04-30,5.19006
2016-05-01,5.69785
2016-05-02,6.99116
2016-05-03,8.75017
2016-05-04,7.29134
2016-05-05,5.50988
2016-05-06,5.53513
2016-05-07,5.09468
2016-05-08,6.04572
2016-05-09,8.08248
2016-05-10,8.80908
2016-05-11,10.39416
2016-05-12,9.06719
2016-05-13,7.13143
2016-05-14,5.63052
2016-05-15,6.20844
2016-05-16,7.29976
2016-05-17,7.17071
2016-05-18,7.32501
2016-05-19,7.5803
2016-05-20,6.79478
2016-05-21,5.93351
2016-05-22,6.76111
2016-05-23,7.50736
2016-05-24,7.27731
2016-05-25,7.29695
2016-05-26,7.17351
2016-05-27,6.64889
2016-05-28,6.09342
2016-05-29,6.36835
2016-05-30,7.66446
2016-05-31,7.34464
2016-06-01,7.13143
2016-06-02,7.28853
2016-06-03,7.70655
2016-06-04,7.08935
2016-06-05,6.63767
2016-06-06,7.84401
2016-06-07,8.05723
2016-06-08,8.57343
2016-06-09,7.39795
2016-06-10,7.93659
2016-06-11,6.87894
2016-06-12,7.87768
2016-06-13,8.13858
2016-06-14,7.30256
2016-06-15,7.35025
2016-06-16,7.12301
2016-06-17,6.69939
2016-06-18,6.23369
2016-06-19,7.19315
2016-06-20,7.82999
2016-06-21,7.59152
2016-06-22,7.79913
2016-06-23,8.05723
2016-06-24,14.75101
2016-06-25,6.47496
2016-06-26,6.71903
2016-06-27,8.58745
2016-06-28,7.89451
2016-06-29,7.33342
2016-06-30,7.7879
2016-07-01,7.87207
2016-07-02,6.33749
2016-07-03,6.43568
2016-07-04,7.66446
2016-07-05,7.27731
2016-07-06,6.91822
2016-07-07,7.40356
2016-07-08,7.19876
2016-07-09,6.44971
2016-07-10,7.34184
2016-07-11,8.6127
2016-07-12,8.85678
2016-07-13,8.9718
2016-07-14,10.08276
2016-07-15,9.73769
2016-07-16,7.49333
2016-07-17,9.12049
2016-07-18,11.25263
2016-07-19,10.39697
2016-07-20,10.04067
2016-07-21,9.7433
2016-07-22,9.79099
2016-07-23,7.36148
2016-07-24,8.56221
2016-07-25,9.97334
2016-07-26,9.6423
2016-07-27,9.52167
2016-07-28,9.30284
2016-07-29,8.31813
2016-07-30,7.86646
2016-07-31,8.39668
2016-08-01,10.2623
2016-08-02,10.108
2016-08-03,10.72801
2016-08-04,11.38168
2016-08-05,9.63108
2016-08-06,7.34184
2016-08-07,7.79913
2016-08-08,9.36737
2016-08-09,9.36176
2016-08-10,9.51606
