시군구,계약면적(㎡),전월세구분,계약년월,보증금(만원),월세(만원)
서울특별시 광진구 자양동,16.5,전세,201801,500,0
서울특별시 광진구 자양동,19.8,전세,201905,500,0
서울특별시 광진구 자양동,13.62,전세,202004,500,0
서울특별시 광진구 자양동,10,전세,202108,500,0
서울특별시 광진구 화양동,21,전세,201803,700,0
서울특별시 광진구 자양동,41.81,전세,201802,900,0
서울특별시 광진구 자양동,60.34,전세,201608,"1,000",0
서울특별시 광진구 자양동,30,전세,201611,"1,000",0
서울특별시 광진구 자양동,17,전세,201703,"1,000",0
서울특별시 광진구 자양동,25,전세,201704,"1,000",0
서울특별시 광진구 자양동,12.48,전세,201804,"1,000",0
서울특별시 광진구 자양동,25,전세,201807,"1,000",0
서울특별시 광진구 자양동,24,전세,201901,"1,000",0
서울특별시 광진구 자양동,30,전세,201905,"1,000",0
서울특별시 광진구 자양동,32.6,전세,201907,"1,000",0
서울특별시 광진구 자양동,40,전세,201907,"1,000",0
서울특별시 광진구 자양동,10,전세,201909,"1,000",0
서울특별시 광진구 자양동,30.2,전세,202008,"1,000",0
서울특별시 광진구 자양동,10,전세,202009,"1,000",0
서울특별시 광진구 자양동,15,전세,202010,"1,000",0
서울특별시 광진구 화양동,15,전세,202106,"1,000",0
서울특별시 광진구 화양동,15,전세,202106,"1,000",0
서울특별시 광진구 자양동,10,전세,202108,"1,000",0
서울특별시 광진구 자양동,10,전세,202108,"1,000",0
서울특별시 광진구 화양동,18,전세,202109,"1,000",0
서울특별시 광진구 자양동,12.66,전세,202111,"1,000",0
서울특별시 광진구 자양동,15,전세,202112,"1,000",0
서울특별시 광진구 자양동,27.31,전세,202112,"1,000",0
서울특별시 광진구 자양동,39.5,전세,201810,"1,100",0
서울특별시 광진구 자양동,88.4,전세,201902,"1,200",0
서울특별시 광진구 자양동,40,전세,201905,"1,200",0
서울특별시 광진구 자양동,65.75,전세,201601,"1,300",0
서울특별시 광진구 자양동,20,전세,201703,"1,500",0
서울특별시 광진구 자양동,35.73,전세,201709,"1,500",0
서울특별시 광진구 화양동,12.92,전세,201802,"1,500",0
서울특별시 광진구 자양동,12,전세,201805,"1,500",0
서울특별시 광진구 자양동,33,전세,201901,"1,500",0
서울특별시 광진구 화양동,16,전세,201910,"1,500",0
서울특별시 광진구 자양동,20,전세,202002,"1,500",0
서울특별시 광진구 자양동,36.5,전세,202002,"1,500",0
서울특별시 광진구 자양동,10,전세,202011,"1,500",0
서울특별시 광진구 화양동,10,전세,202106,"1,500",0
서울특별시 광진구 자양동,21,전세,201707,"1,600",0
서울특별시 광진구 자양동,33,전세,201808,"1,700",0
서울특별시 광진구 자양동,25,전세,201810,"1,800",0
서울특별시 광진구 자양동,20,전세,201903,"1,800",0
서울특별시 광진구 자양동,12.12,전세,201906,"1,800",0
서울특별시 광진구 자양동,24.78,전세,201909,"1,800",0
서울특별시 광진구 자양동,15,전세,202004,"1,800",0
서울특별시 광진구 자양동,23.37,전세,202012,"1,943",0
