날짜,월세
2017-01-01,13.30022
2017-01-02,20.5129
2017-01-03,23.00512
2017-01-04,31.25491
2017-01-05,17.62783
2017-01-06,14.63905
2017-01-07,10.97771
2017-01-08,11.26999
2017-01-09,15.91501
2017-01-10,15.01304
2017-01-11,15.49703
2017-01-12,17.2067
2017-01-13,17.91068
2017-01-14,13.06766
2017-01-15,12.56481
2017-01-16,31.73889
2017-01-17,16.08472
2017-01-18,14.54476
2017-01-19,13.75907
2017-01-20,12.95138
2017-01-21,8.71806
2017-01-22,9.12662
2017-01-23,13.21537
2017-01-24,14.54791
2017-01-25,14.48191
2017-01-26,15.43103
2017-01-27,10.2643
2017-01-28,8.84691
2017-01-29,8.68034
2017-01-30,11.10342
2017-01-31,21.05345
2017-02-01,21.38345
2017-02-02,19.77749
2017-02-03,17.7504
2017-02-04,11.81683
2017-02-05,12.08711
2017-02-06,23.00197
2017-02-07,22.91712
2017-02-08,20.48461
2017-02-09,19.41921
2017-02-10,20.77375
2017-02-11,12.13111
2017-02-12,11.8954
2017-02-13,18.24067
2017-02-14,17.49897
2017-02-15,17.49269
2017-02-16,19.52921
2017-02-17,14.63905
2017-02-18,11.03428
2017-02-19,11.06885
2017-02-20,16.31729
2017-02-21,15.75473
2017-02-22,16.93956
2017-02-23,15.11989
2017-02-24,11.81998
2017-02-25,9.62946
2017-02-26,11.25428
2017-02-27,16.26386
2017-02-28,15.02247
2017-03-01,12.96709
2017-03-02,16.59385
2017-03-03,13.60822
2017-03-04,10.36801
2017-03-05,11.9834
2017-03-06,13.16509
2017-03-07,12.83509
2017-03-08,12.9828
2017-03-09,11.57484
2017-03-10,10.45915
2017-03-11,9.94374
2017-03-12,10.58801
2017-03-13,11.49313
2017-03-14,10.5503
2017-03-15,11.30456
2017-03-16,11.97083
2017-03-17,11.13485
2017-03-18,10.48744
2017-03-19,10.88343
2017-03-20,12.10911
2017-03-21,11.23542
2017-03-22,11.72569
2017-03-23,11.27942
2017-03-24,10.02545
2017-03-25,8.86891
2017-03-26,10.06002
2017-03-27,10.64772
2017-03-28,10.68543
2017-03-29,10.62258
2017-03-30,10.3743
2017-03-31,10.21716
2017-04-01,8.6772
2017-04-02,9.7206
2017-04-03,11.10971
2017-04-04,11.072
2017-04-05,10.53458
2017-04-06,10.15745
2017-04-07,10.55658
2017-04-08,9.48804
2017-04-09,10.86143
2017-04-10,10.73572
2017-04-11,11.21342
2017-04-12,10.92743
2017-04-13,10.25173
2017-04-14,9.52261
2017-04-15,8.55149
2017-04-16,9.20833
2017-04-17,10.44658
2017-04-18,9.17062
2017-04-19,11.87655
2017-04-20,9.8306
2017-04-21,9.21776
2017-04-22,7.54894
2017-04-23,7.97008
2017-04-24,9.0669
2017-04-25,9.02605
2017-04-26,8.6992
2017-04-27,9.79289
2017-04-28,9.3529
2017-04-29,7.89151
2017-04-30,7.5238
2017-05-01,9.12976
2017-05-02,8.6772
2017-05-03,8.09579
2017-05-04,8.85634
2017-05-05,7.24409
2017-05-06,7.47666
2017-05-07,8.60806
2017-05-08,9.61375
2017-05-09,10.34601
2017-05-10,31.13862
2017-05-11,18.39152
2017-05-12,14.35305
2017-05-13,12.54282
2017-05-14,11.37999
2017-05-15,11.76026
2017-05-16,12.12168
2017-05-17,12.87595
2017-05-18,13.41651
2017-05-19,11.27628
2017-05-20,11.028
2017-05-21,11.26999
2017-05-22,14.79619
2017-05-23,13.1588
2017-05-24,13.73078
2017-05-25,14.67676
2017-05-26,14.33106
2017-05-27,11.4837
2017-05-28,10.05374
2017-05-29,13.8345
2017-05-30,11.31713
2017-05-31,10.94
2017-06-01,10.48115
2017-06-02,11.44599
2017-06-03,9.3529
2017-06-04,10.06631
2017-06-05,10.90229
2017-06-06,9.83374
2017-06-07,12.21282
2017-06-08,11.53084
2017-06-09,10.99657
2017-06-10,9.37804
2017-06-11,10.45601
2017-06-12,12.02111
2017-06-13,12.24111
2017-06-14,11.92369
2017-06-15,10.87086
2017-06-16,11.13485
2017-06-17,9.79289
2017-06-18,11.05314
2017-06-19,12.96395
2017-06-20,11.92055
2017-06-21,12.47367
2017-06-22,13.08337
2017-06-23,13.44793
2017-06-24,11.13799
2017-06-25,10.45601
2017-06-26,11.70998
2017-06-27,12.0274
2017-06-28,11.81369
2017-06-29,10.49058
2017-06-30,10.10716
2017-07-01,9.71117
2017-07-02,9.01662
2017-07-03,11.38627
2017-07-04,10.75772
2017-07-05,10.99971
2017-07-06,10.13545
2017-07-07,13.12109
2017-07-08,9.01976
2017-07-09,9.11405
2017-07-10,11.58741
2017-07-11,11.54341
2017-07-12,11.44913
2017-07-13,12.73452
2017-07-14,12.36682
2017-07-15,11.28256
2017-07-16,12.36996
2017-07-17,15.00047
2017-07-18,14.73019
2017-07-19,16.19786
2017-07-20,16.04073
2017-07-21,13.86907
2017-07-22,11.47113
2017-07-23,12.34796
2017-07-24,14.16449
2017-07-25,13.43222
2017-07-26,14.95332
2017-07-27,14.3342
2017-07-28,12.05568
2017-07-29,10.15116
2017-07-30,11.09714
2017-07-31,13.84392
2017-08-01,13.6365
2017-08-02,14.77733
2017-08-03,13.33479
2017-08-04,14.51648
2017-08-05,11.10028
2017-08-06,11.72255
2017-08-07,16.06587
2017-08-08,17.07156
2017-08-09,18.12439
2017-08-10,15.86473
2017-08-11,14.83076
2017-08-12,11.13799
2017-08-13,11.98969
2017-08-14,14.8119
2017-08-15,13.85021
2017-08-16,17.19412
2017-08-17,18.47638
2017-08-18,19.42235
2017-08-19,14.1582
2017-08-20,15.74216
2017-08-21,18.59266
2017-08-22,18.70266
2017-08-23,18.60523
2017-08-24,17.93582
2017-08-25,17.17841
2017-08-26,14.2462
2017-08-27,16.63785
2017-08-28,20.45318
2017-08-29,18.91951
2017-08-30,18.36009
2017-08-31,18.78123
2017-09-01,18.71209
2017-09-02,14.44105
2017-09-03,18.02067
2017-09-04,22.31999
2017-09-05,20.16405
2017-09-06,18.67437
2017-09-07,29.72752
2017-09-08,30.57921
2017-09-09,27.36101
2017-09-10,41.76435
2017-09-11,68.10396
2017-09-12,76.05518
2017-09-13,84.36783
2017-09-14,37.0219
2017-09-15,32.96143
2017-09-16,13.28137
2017-09-17,12.20654
2017-09-18,16.00615
2017-09-19,13.2468
2017-09-20,12.10597
2017-09-21,12.00226
2017-09-22,10.59115
2017-09-23,9.11719
2017-09-24,9.22404
2017-09-25,10.808
2017-09-26,10.07259
2017-09-27,10.83943
2017-09-28,10.12602
2017-09-29,8.96005
2017-09-30,8.54206
2017-10-01,7.9575
2017-10-02,6.85125
2017-10-03,5.9367
2017-10-04,6.06241
2017-10-05,6.42069
2017-10-06,7.02724
2017-10-07,7.48295
2017-10-08,8.09579
2017-10-09,10.17002
2017-10-10,12.49253
2017-10-11,12.37311
2017-10-12,11.54027
2017-10-13,11.29199
2017-10-14,10.38687
2017-10-15,10.49373
2017-10-16,11.97083
2017-10-17,11.12228
2017-10-18,11.47113
2017-10-19,11.27942
2017-10-20,10.82686
2017-10-21,9.83688
2017-10-22,9.20204
2017-10-23,12.25682
2017-10-24,12.16882
2017-10-25,12.42025
2017-10-26,13.99164
2017-10-27,23.25025
2017-10-28,10.74515
2017-10-29,11.3517
2017-10-30,16.70699
2017-10-31,10.984
2017-11-01,11.59684
2017-11-02,12.10911
2017-11-03,12.17511
2017-11-04,10.09459
2017-11-05,9.63575
2017-11-06,11.77284
2017-11-07,11.88598
2017-11-08,13.12109
2017-11-09,16.597
2017-11-10,14.52591
2017-11-11,11.15999
2017-11-12,11.5277
2017-11-13,14.45048
2017-11-14,15.20475
2017-11-15,24.49794
2017-11-16,55.26886
2017-11-17,17.30098
2017-11-18,10.1763
2017-11-19,10.48115
2017-11-20,14.18649
2017-11-21,20.98117
2017-11-22,24.07052
2017-11-23,35.56679
2017-11-24,83.62927
2017-11-25,47.58791
2017-11-26,29.52324
2017-11-27,25.87133
2017-11-28,34.13369
2017-11-29,71.25302
2017-11-30,20.86803
2017-12-01,18.15896
2017-12-02,15.95587
2017-12-03,15.08532
2017-12-04,17.93896
2017-12-05,16.40529
2017-12-06,17.47069
2017-12-07,18.46066
2017-12-08,17.28841
2017-12-09,14.41591
2017-12-10,12.51139
2017-12-11,14.76476
2017-12-12,19.99434
2017-12-13,16.0753
2017-12-14,15.72645
2017-12-15,20.26776
2017-12-16,14.82761
2017-12-17,14.52591
2017-12-18,26.60988
2017-12-19,30.81806
2017-12-20,40.77438
2017-12-21,66.07372
2017-12-22,100
2017-12-23,20.94031
2017-12-24,15.40274
2017-12-25,15.63531
2017-12-26,20.64175
2017-12-27,18.30981
2017-12-28,27.93299
2017-12-29,36.39649
2017-12-30,19.49149
2017-12-31,15.62902
