시군구,계약면적(㎡),전월세구분,계약년월,보증금(만원),월세(만원)
서울특별시 동대문구 이문동,35,월세,201701,"1,000",95
서울특별시 동대문구 휘경동,45,월세,201702,"1,000",95
서울특별시 동대문구 회기동,45,월세,201812,"1,000",95
서울특별시 동대문구 휘경동,30.81,월세,201701,"2,000",95
서울특별시 동대문구 휘경동,30,월세,201901,"2,000",95
서울특별시 동대문구 휘경동,66,월세,202106,"2,000",95
서울특별시 동대문구 휘경동,66,월세,202106,"2,000",95
서울특별시 동대문구 이문동,80.86,월세,201612,500,90
서울특별시 동대문구 휘경동,33,월세,201612,"1,000",90
서울특별시 동대문구 회기동,47.71,월세,201901,"1,000",90
서울특별시 동대문구 이문동,59.64,월세,202004,"1,000",90
서울특별시 동대문구 휘경동,55.23,월세,202007,"1,000",90
서울특별시 동대문구 휘경동,25,월세,202107,"1,000",90
서울특별시 동대문구 회기동,47.71,월세,202107,"1,000",90
서울특별시 동대문구 휘경동,64.52,월세,202110,"1,000",90
서울특별시 동대문구 이문동,67.7,월세,202112,"1,000",90
서울특별시 동대문구 이문동,49.98,월세,201808,"1,500",90
서울특별시 동대문구 회기동,47.29,월세,202004,"2,000",90
서울특별시 동대문구 이문동,67.77,월세,202007,"2,000",90
서울특별시 동대문구 휘경동,30.25,월세,201601,"3,000",90
서울특별시 동대문구 휘경동,30.66,월세,201601,"3,000",90
서울특별시 동대문구 휘경동,48.9,월세,201603,"3,000",90
서울특별시 동대문구 휘경동,75.06,월세,201801,"3,000",90
서울특별시 동대문구 이문동,28.52,월세,201803,"3,000",90
서울특별시 동대문구 이문동,19.05,월세,201901,"3,000",90
서울특별시 동대문구 휘경동,64.52,월세,202105,"3,000",90
서울특별시 동대문구 휘경동,47.79,월세,202107,"3,000",90
서울특별시 동대문구 이문동,36,월세,202112,"3,000",90
서울특별시 동대문구 휘경동,43.08,월세,201910,"3,000",90
서울특별시 동대문구 회기동,97.51,월세,202004,"5,000",90
서울특별시 동대문구 휘경동,65.64,월세,202104,"5,000",90
서울특별시 동대문구 휘경동,92.03,월세,202110,"5,000",90
서울특별시 동대문구 휘경동,43.08,월세,201701,"5,000",90
서울특별시 동대문구 이문동,29.98,월세,201807,"5,000",90
서울특별시 동대문구 이문동,34.62,월세,202006,"5,000",90
서울특별시 동대문구 휘경동,43.08,월세,202002,"5,000",90
서울특별시 동대문구 회기동,40,월세,201901,"3,000",88
서울특별시 동대문구 휘경동,29.86,월세,202012,"1,000",87
서울특별시 동대문구 이문동,52.88,월세,202001,"2,000",87
서울특별시 동대문구 휘경동,70,월세,201810,800,85
서울특별시 동대문구 휘경동,41.67,월세,202009,"1,000",85
서울특별시 동대문구 이문동,42,월세,202112,"1,000",85
서울특별시 동대문구 이문동,55.13,월세,201910,"1,500",85
서울특별시 동대문구 휘경동,30.25,월세,201912,"2,000",85
서울특별시 동대문구 휘경동,25,월세,202012,"2,000",85
서울특별시 동대문구 이문동,34.71,월세,201702,"4,000",85
서울특별시 동대문구 회기동,45,월세,202003,"2,000",84
서울특별시 동대문구 휘경동,20.02,월세,202111,500,83
서울특별시 동대문구 휘경동,42.04,월세,202101,500,82
서울특별시 동대문구 휘경동,49.42,월세,201906,"1,000",82
서울특별시 동대문구 휘경동,20.02,월세,202111,"1,000",82
서울특별시 동대문구 이문동,30,월세,201612,"3,000",82
서울특별시 동대문구 휘경동,30,월세,201811,"3,000",82
서울특별시 동대문구 이문동,29.14,월세,202112,"1,000",81
서울특별시 동대문구 이문동,26,월세,201812,500,80
서울특별시 동대문구 이문동,35,월세,202005,500,80
서울특별시 동대문구 이문동,29.07,월세,202110,500,80
서울특별시 동대문구 이문동,28,월세,202111,500,80
서울특별시 동대문구 휘경동,20,월세,202112,500,80
서울특별시 동대문구 회기동,30,월세,201807,700,80
서울특별시 동대문구 휘경동,26.61,월세,201910,800,80
서울특별시 동대문구 회기동,45,월세,202108,800,80
서울특별시 동대문구 이문동,28.37,월세,202111,800,80
서울특별시 동대문구 회기동,64.85,월세,201706,"1,000",80
서울특별시 동대문구 이문동,55.2,월세,201711,"1,000",80
서울특별시 동대문구 이문동,49.83,월세,201802,"1,000",80
서울특별시 동대문구 회기동,155,월세,201812,"1,000",80
서울특별시 동대문구 이문동,32,월세,201905,"1,000",80
서울특별시 동대문구 휘경동,29.86,월세,201905,"1,000",80
서울특별시 동대문구 휘경동,29.86,월세,201905,"1,000",80
서울특별시 동대문구 이문동,46.62,월세,201910,"1,000",80
서울특별시 동대문구 이문동,36.47,월세,201912,"1,000",80
서울특별시 동대문구 이문동,56.91,월세,202001,"1,000",80
서울특별시 동대문구 회기동,49,월세,202001,"1,000",80
서울특별시 동대문구 휘경동,35,월세,202001,"1,000",80
서울특별시 동대문구 이문동,28.39,월세,202001,"1,000",80
서울특별시 동대문구 이문동,25.72,월세,202001,"1,000",80
서울특별시 동대문구 이문동,28,월세,202006,"1,000",80
서울특별시 동대문구 휘경동,35.35,월세,202007,"1,000",80
서울특별시 동대문구 이문동,175.74,월세,202011,"1,000",80
서울특별시 동대문구 휘경동,40,월세,202012,"1,000",80
서울특별시 동대문구 휘경동,29.94,월세,202102,"1,000",80
서울특별시 동대문구 이문동,53.44,월세,202104,"1,000",80
서울특별시 동대문구 휘경동,54.53,월세,202106,"1,000",80
서울특별시 동대문구 휘경동,40,월세,202107,"1,000",80
서울특별시 동대문구 회기동,45,월세,202108,"1,000",80
서울특별시 동대문구 휘경동,33.64,월세,202109,"1,000",80
서울특별시 동대문구 이문동,50,월세,202111,"1,000",80
서울특별시 동대문구 이문동,53.36,월세,202111,"1,000",80
서울특별시 동대문구 휘경동,37,월세,202112,"1,000",80
