날짜,월세
2020-01-01,14.37326
2020-01-02,17.95802
2020-01-03,31.23566
2020-01-04,13.88708
2020-01-05,15.284
2020-01-06,17.30407
2020-01-07,16.52685
2020-01-08,15.41753
2020-01-09,17.09179
2020-01-10,15.55106
2020-01-11,12.84281
2020-01-12,11.83277
2020-01-13,18.18742
2020-01-14,32.27308
2020-01-15,17.7834
2020-01-16,17.71835
2020-01-17,22.0632
2020-01-18,12.42167
2020-01-19,11.3774
2020-01-20,13.55839
2020-01-21,12.97976
2020-01-22,13.23655
2020-01-23,12.67161
2020-01-24,9.82983
2020-01-25,10.45982
2020-01-26,9.19984
2020-01-27,9.87776
2020-01-28,13.82545
2020-01-29,15.06145
2020-01-30,15.62981
2020-01-31,18.76262
2020-02-01,13.4454
2020-02-02,13.55839
2020-02-03,35.90919
2020-02-04,29.52374
2020-02-05,28.14736
2020-02-06,26.70935
2020-02-07,25.5829
2020-02-08,17.77313
2020-02-09,15.63666
2020-02-10,31.28702
2020-02-11,26.66484
2020-02-12,24.45988
2020-02-13,23.19649
2020-02-14,21.3305
2020-02-15,14.20892
2020-02-16,14.79782
2020-02-17,20.75529
2020-02-18,19.5638
2020-02-19,18.3141
2020-02-20,20.01574
2020-02-21,18.66333
2020-02-22,14.37326
2020-02-23,13.72616
2020-02-24,16.98223
2020-02-25,22.55966
2020-02-26,23.09035
2020-02-27,23.46012
2020-02-28,17.42048
2020-02-29,11.77457
2020-03-01,11.53832
2020-03-02,16.7768
2020-03-03,14.25
2020-03-04,14.4075
2020-03-05,13.57893
2020-03-06,13.35638
2020-03-07,10.86725
2020-03-08,10.55568
2020-03-09,14.22261
2020-03-10,15.66405
2020-03-11,15.02037
2020-03-12,12.21967
2020-03-13,13.41801
2020-03-14,10.81247
2020-03-15,11.71979
2020-03-16,18.79686
2020-03-17,17.31434
2020-03-18,15.72225
2020-03-19,16.28719
2020-03-20,13.65768
2020-03-21,10.17564
2020-03-22,10.26123
2020-03-23,16.19132
2020-03-24,14.09935
2020-03-25,12.97976
2020-03-26,15.86263
2020-03-27,16.00643
2020-03-28,10.62758
2020-03-29,10.56253
2020-03-30,15.49286
2020-03-31,22.49803
2020-04-01,18.34834
2020-04-02,16.34882
2020-04-03,15.15047
2020-04-04,11.06926
2020-04-05,10.82617
2020-04-06,15.84209
2020-04-07,13.36665
2020-04-08,12.6271
2020-04-09,11.65474
2020-04-10,11.16855
2020-04-11,8.80953
2020-04-12,11.21306
2020-04-13,13.77751
2020-04-14,12.12722
2020-04-15,9.19642
2020-04-16,12.09983
2020-04-17,11.6068
2020-04-18,8.86088
2020-04-19,10.74057
2020-04-20,13.29475
2020-04-21,14.00349
2020-04-22,24.37086
2020-04-23,20.36498
2020-04-24,14.17468
2020-04-25,10.06265
2020-04-26,10.57623
2020-04-27,14.12332
2020-04-28,14.51022
2020-04-29,17.88954
2020-04-30,11.58283
2020-05-01,11.61707
2020-05-02,9.45321
2020-05-03,10.58992
2020-05-04,13.77409
2020-05-05,10.74742
2020-05-06,12.84623
2020-05-07,12.25391
2020-05-08,11.67185
2020-05-09,9.92227
2020-05-10,13.40089
2020-05-11,16.15708
2020-05-12,12.90101
2020-05-13,14.64717
2020-05-14,13.17492
2020-05-15,12.4251
2020-05-16,9.9257
2020-05-17,10.13798
2020-05-18,14.27055
2020-05-19,13.1578
2020-05-20,11.59995
2020-05-21,11.56914
2020-05-22,11.25415
2020-05-23,9.71
2020-05-24,10.36053
2020-05-25,12.84623
2020-05-26,12.41825
2020-05-27,12.10326
2020-05-28,11.49039
2020-05-29,10.64813
2020-05-30,9.05604
2020-05-31,10.90492
2020-06-01,12.40456
2020-06-02,11.51436
2020-06-03,12.53809
2020-06-04,11.64446
2020-06-05,10.79535
2020-06-06,8.90882
2020-06-07,10.13798
2020-06-08,14.30478
2020-06-09,11.74376
2020-06-10,13.41801
2020-06-11,13.03797
2020-06-12,15.4997
2020-06-13,11.6205
2020-06-14,11.21306
2020-06-15,15.86948
2020-06-16,14.09251
2020-06-17,14.8389
2020-06-18,15.29085
2020-06-19,14.59923
2020-06-20,11.73006
2020-06-21,11.34317
2020-06-22,13.89735
2020-06-23,13.91447
2020-06-24,13.87338
2020-06-25,13.733
2020-06-26,12.79145
2020-06-27,10.74742
2020-06-28,11.69582
2020-06-29,14.90396
2020-06-30,14.9827
2020-07-01,13.69534
2020-07-02,13.61659
2020-07-03,13.31187
2020-07-04,11.14801
2020-07-05,11.60338
2020-07-06,14.93135
2020-07-07,14.54103
2020-07-08,14.44174
2020-07-09,15.56476
2020-07-10,13.35981
2020-07-11,10.64813
2020-07-12,10.92203
2020-07-13,13.60975
2020-07-14,13.68507
2020-07-15,13.73643
2020-07-16,13.17834
2020-07-17,13.92474
2020-07-18,11.09665
2020-07-19,10.3571
2020-07-20,13.16807
2020-07-21,12.88047
2020-07-22,13.65768
2020-07-23,12.84623
2020-07-24,13.13383
2020-07-25,10.85698
2020-07-26,10.50775
2020-07-27,12.59287
2020-07-28,13.18861
2020-07-29,13.66453
2020-07-30,13.19204
2020-07-31,12.60314
2020-08-01,11.36029
2020-08-02,11.89098
2020-08-03,14.5513
2020-08-04,15.28743
2020-08-05,16.3317
2020-08-06,16.31115
2020-08-07,16.68093
2020-08-08,12.52439
2020-08-09,13.79121
2020-08-10,19.21457
2020-08-11,18.36546
2020-08-12,19.57407
2020-08-13,20.3684
2020-08-14,18.64963
2020-08-15,13.70561
2020-08-16,14.30136
2020-08-17,16.10572
2020-08-18,27.69883
2020-08-19,22.53569
2020-08-20,27.20238
2020-08-21,22.92601
2020-08-22,16.4036
2020-08-23,16.34882
2020-08-24,23.48752
2020-08-25,23.23758
2020-08-26,22.4364
2020-08-27,22.41243
2020-08-28,21.27572
2020-08-29,15.99958
2020-08-30,19.71787
2020-08-31,26.30191
2020-09-01,25.44253
2020-09-02,24.78515
2020-09-03,24.06272
2020-09-04,22.9534
2020-09-05,22.81987
2020-09-06,21.03262
2020-09-07,25.7541
2020-09-08,29.34912
2020-09-09,25.2371
2020-09-10,23.73746
2020-09-11,23.20334
2020-09-12,16.8487
2020-09-13,18.80028
2020-09-14,23.45328
2020-09-15,23.13486
2020-09-16,21.09768
2020-09-17,29.12657
2020-09-18,28.92799
2020-09-19,23.3848
2020-09-20,27.82894
2020-09-21,40.06231
2020-09-22,41.98993
2020-09-23,52.39497
2020-09-24,87.35919
2020-09-25,97.51087
2020-09-26,30.54062
2020-09-27,36.35429
2020-09-28,46.06087
2020-09-29,22.27205
2020-09-30,10.43927
2020-10-01,9.74423
2020-10-02,10.59335
2020-10-03,10.83986
2020-10-04,12.1238
2020-10-05,16.63642
2020-10-06,13.54812
2020-10-07,13.04481
2020-10-08,12.82911
2020-10-09,9.6244
2020-10-10,9.9257
2020-10-11,10.62416
2020-10-12,14.25
2020-10-13,13.78779
2020-10-14,12.65792
2020-10-15,11.82935
2020-10-16,14.14729
2020-10-17,10.36737
2020-10-18,9.87092
2020-10-19,12.38059
2020-10-20,13.1578
2020-10-21,12.07929
2020-10-22,11.02475
2020-10-23,11.57599
2020-10-24,9.83325
2020-10-25,10.60704
2020-10-26,14.19522
2020-10-27,16.87266
2020-10-28,14.36984
2020-10-29,15.10596
2020-10-30,17.11918
2020-10-31,11.00078
2020-11-01,11.41164
2020-11-02,17.34858
2020-11-03,16.27349
2020-11-04,14.71222
2020-11-05,15.11966
2020-11-06,19.18033
2020-11-07,11.70267
2020-11-08,11.56572
2020-11-09,14.92108
2020-11-10,19.7076
2020-11-11,15.28743
2020-11-12,16.91717
2020-11-13,27.11678
2020-11-14,12.51754
2020-11-15,23.69979
2020-11-16,24.3332
2020-11-17,20.67312
2020-11-18,18.11894
2020-11-19,17.95117
2020-11-20,18.00253
2020-11-21,14.4794
2020-11-22,15.76334
2020-11-23,18.25247
2020-11-24,24.50439
2020-11-25,17.23217
2020-11-26,20.70051
2020-11-27,33.29338
2020-11-28,15.52709
2020-11-29,15.02379
2020-11-30,32.13955
2020-12-01,23.69295
2020-12-02,28.72256
2020-12-03,47.78991
2020-12-04,49.66275
2020-12-05,37.50128
2020-12-06,24.95976
2020-12-07,31.9307
2020-12-08,30.39682
2020-12-09,56.23994
2020-12-10,25.04194
2020-12-11,23.73403
2020-12-12,20.51562
2020-12-13,18.28328
2020-12-14,20.21433
2020-12-15,21.57017
2020-12-16,100
2020-12-17,21.77217
2020-12-18,25.17204
2020-12-19,24.8502
2020-12-20,13.39062
2020-12-21,17.20477
2020-12-22,20.77241
2020-12-23,35.19019
2020-12-24,42.01047
2020-12-25,29.69151
2020-12-26,97.51087
2020-12-27,42.61649
2020-12-28,33.09822
2020-12-29,26.01431
2020-12-30,39.22004
2020-12-31,38.72701
