시군구,계약면적(㎡),전월세구분,계약년월,보증금(만원),월세(만원)
서울특별시 성북구 종암동,25.74,월세,201803,"1,000",95
서울특별시 성북구 종암동,46.37,월세,202112,"2,000",95
서울특별시 성북구 정릉동,69.76,월세,202110,"3,000",95
서울특별시 성북구 종암동,86.62,월세,201810,"4,000",95
서울특별시 성북구 종암동,86.62,월세,202107,"4,000",95
서울특별시 성북구 종암동,21.19,월세,201807,"1,000",90
서울특별시 성북구 정릉동,29.82,월세,201809,"1,000",90
서울특별시 성북구 정릉동,88.15,월세,202007,"1,000",90
서울특별시 성북구 정릉동,29,월세,202101,"1,000",90
서울특별시 성북구 정릉동,55.68,월세,202104,"1,000",90
서울특별시 성북구 종암동,28.6,월세,201602,"2,000",90
서울특별시 성북구 정릉동,37.06,월세,201704,"2,000",90
서울특별시 성북구 종암동,29.95,월세,201707,"2,000",90
서울특별시 성북구 종암동,44.42,월세,201810,"2,000",90
서울특별시 성북구 종암동,37.21,월세,202002,"2,000",90
서울특별시 성북구 종암동,73.64,월세,202101,"2,000",90
서울특별시 성북구 종암동,83.89,월세,202004,"2,000",90
서울특별시 성북구 정릉동,83.9,월세,201811,"3,000",90
서울특별시 성북구 정릉동,101.41,월세,202103,"3,000",90
서울특별시 성북구 정릉동,62.7,월세,202104,"3,000",90
서울특별시 성북구 종암동,60.9,월세,202106,"3,000",90
서울특별시 성북구 종암동,20.89,월세,202112,"4,000",90
서울특별시 성북구 종암동,58.86,월세,201812,"5,000",90
서울특별시 성북구 종암동,27,월세,202108,500,87
서울특별시 성북구 정릉동,65.75,월세,201810,500,85
서울특별시 성북구 정릉동,58.17,월세,202107,500,85
서울특별시 성북구 정릉동,29.88,월세,201610,"1,000",85
서울특별시 성북구 종암동,43,월세,201712,"1,000",85
서울특별시 성북구 종암동,71.94,월세,201912,"1,000",85
서울특별시 성북구 정릉동,65.44,월세,202006,"1,000",85
서울특별시 성북구 정릉동,25,월세,202101,"1,000",85
서울특별시 성북구 종암동,57.27,월세,202005,"2,000",85
서울특별시 성북구 종암동,26.76,월세,201602,"3,000",85
