날짜,월세
2020-01-01,3.70977
2020-01-02,4.20303
2020-01-03,4.33447
2020-01-04,3.43656
2020-01-05,3.81019
2020-01-06,4.1026
2020-01-07,3.8161
2020-01-08,3.75851
2020-01-09,3.94902
2020-01-10,3.82496
2020-01-11,3.29035
2020-01-12,3.30807
2020-01-13,3.78361
2020-01-14,3.83973
2020-01-15,4.06568
2020-01-16,4.12033
2020-01-17,4.29459
2020-01-18,3.66694
2020-01-19,3.59162
2020-01-20,3.99923
2020-01-21,4.06716
2020-01-22,4.29754
2020-01-23,3.81019
2020-01-24,2.93592
2020-01-25,3.08212
2020-01-26,2.9876
2020-01-27,3.16778
2020-01-28,3.95492
2020-01-29,6.70181
2020-01-30,5.37858
2020-01-31,4.69481
2020-02-01,3.73488
2020-02-02,3.67285
2020-02-03,10.71286
2020-02-04,8.01027
2020-02-05,7.37967
2020-02-06,5.56466
2020-02-07,5.42288
2020-02-08,4.62835
2020-02-09,3.97117
2020-02-10,5.76403
2020-02-11,5.06845
2020-02-12,6.0077
2020-02-13,5.23237
2020-02-14,4.30198
2020-02-15,3.4336
2020-02-16,3.77032
2020-02-17,4.52054
2020-02-18,4.57223
2020-02-19,4.18383
2020-02-20,4.11294
2020-02-21,8.37357
2020-02-22,5.63998
2020-02-23,5.19102
2020-02-24,5.07288
2020-02-25,5.56466
2020-02-26,4.75388
2020-02-27,4.20451
2020-02-28,24.66586
2020-02-29,4.51168
2020-03-01,4.08193
2020-03-02,5.35643
2020-03-03,4.74502
2020-03-04,5.25009
2020-03-05,5.64884
2020-03-06,5.20136
2020-03-07,4.15429
2020-03-08,3.74964
2020-03-09,4.36843
2020-03-10,4.1794
2020-03-11,4.42603
2020-03-12,3.81167
2020-03-13,6.68261
2020-03-14,4.90747
2020-03-15,3.85007
2020-03-16,5.33427
2020-03-17,5.83492
2020-03-18,4.90895
2020-03-19,4.64755
2020-03-20,4.22075
2020-03-21,3.34795
2020-03-22,3.6566
2020-03-23,5.08174
2020-03-24,4.14248
2020-03-25,3.52221
2020-03-26,3.58424
2020-03-27,4.04944
2020-03-28,3.25786
2020-03-29,3.30955
2020-03-30,3.98741
2020-03-31,4.36548
2020-04-01,100
2020-04-02,9.60081
2020-04-03,5.56613
2020-04-04,3.98741
2020-04-05,3.89733
2020-04-06,4.55304
2020-04-07,4.20303
2020-04-08,3.71863
2020-04-09,3.51483
2020-04-10,3.74226
2020-04-11,3.0836
2020-04-12,3.34943
2020-04-13,4.22518
2020-04-14,3.57686
2020-04-15,3.52812
2020-04-16,4.97541
2020-04-17,4.17054
2020-04-18,3.34204
2020-04-19,3.43213
2020-04-20,4.02581
2020-04-21,4.33594
2020-04-22,4.29902
2020-04-23,4.4659
2020-04-24,4.5619
2020-04-25,3.44394
2020-04-26,3.44837
2020-04-27,4.24586
2020-04-28,3.63593
2020-04-29,4.88089
2020-04-30,3.48086
2020-05-01,3.36862
2020-05-02,3.01419
2020-05-03,3.31694
2020-05-04,4.27982
2020-05-05,3.33023
2020-05-06,4.43784
2020-05-07,3.58719
2020-05-08,3.24162
2020-05-09,3.0452
2020-05-10,2.96398
2020-05-11,3.60196
2020-05-12,3.46166
2020-05-13,4.38911
2020-05-14,3.93277
2020-05-15,3.61378
2020-05-16,2.73507
2020-05-17,2.88718
2020-05-18,3.98446
2020-05-19,3.60639
2020-05-20,3.20913
2020-05-21,3.33023
2020-05-22,3.27115
2020-05-23,3.01419
2020-05-24,3.17516
2020-05-25,3.71272
2020-05-26,3.67285
2020-05-27,3.3066
2020-05-28,3.25048
2020-05-29,3.09246
2020-05-30,2.92115
2020-05-31,3.31103
2020-06-01,3.59015
2020-06-02,3.5547
2020-06-03,3.34204
2020-06-04,3.53255
2020-06-05,3.80872
2020-06-06,2.80596
2020-06-07,2.89013
2020-06-08,3.21208
2020-06-09,3.27115
2020-06-10,6.33113
2020-06-11,5.798
2020-06-12,6.36657
2020-06-13,4.25176
2020-06-14,4.23847
2020-06-15,4.6889
2020-06-16,3.66547
2020-06-17,3.65217
2020-06-18,3.60196
2020-06-19,3.73635
2020-06-20,3.36862
2020-06-21,3.38782
2020-06-22,3.72306
2020-06-23,3.63298
2020-06-24,3.50745
2020-06-25,3.71715
2020-06-26,13.66502
2020-06-27,3.70091
2020-06-28,3.37158
2020-06-29,3.79395
2020-06-30,3.37158
2020-07-01,3.66694
2020-07-02,3.48086
2020-07-03,3.38044
2020-07-04,2.98908
2020-07-05,3.52664
2020-07-06,4.01843
2020-07-07,4.07159
2020-07-08,5.59272
2020-07-09,6.35919
2020-07-10,3.74669
2020-07-11,3.15596
2020-07-12,3.39078
2020-07-13,3.68466
2020-07-14,3.4469
2020-07-15,3.70239
2020-07-16,3.71715
2020-07-17,3.41145
2020-07-18,3.40554
2020-07-19,3.16187
2020-07-20,3.71272
2020-07-21,3.98889
2020-07-22,3.47791
2020-07-23,3.43656
2020-07-24,10.25357
2020-07-25,5.51592
2020-07-26,5.46423
2020-07-27,5.42731
2020-07-28,4.07898
2020-07-29,5.50706
2020-07-30,3.918
2020-07-31,3.14267
2020-08-01,2.91229
2020-08-02,3.08212
2020-08-03,3.70829
2020-08-04,3.69057
2020-08-05,3.76737
2020-08-06,3.5488
2020-08-07,3.66842
2020-08-08,3.06735
2020-08-09,3.37158
2020-08-10,4.34037
2020-08-11,4.18974
2020-08-12,4.5043
2020-08-13,4.40388
2020-08-14,4.18235
2020-08-15,3.19141
2020-08-16,3.43213
2020-08-17,3.87813
2020-08-18,4.34923
2020-08-19,4.46443
2020-08-20,4.62392
2020-08-21,5.73302
2020-08-22,3.64627
2020-08-23,3.67728
2020-08-24,4.92519
2020-08-25,4.72582
2020-08-26,4.9695
2020-08-27,4.69924
2020-08-28,5.75517
2020-08-29,3.61082
2020-08-30,4.50135
2020-08-31,5.72268
2020-09-01,5.01971
2020-09-02,5.30031
2020-09-03,4.97541
2020-09-04,4.79819
2020-09-05,3.79838
2020-09-06,4.10408
2020-09-07,4.78342
2020-09-08,5.5174
2020-09-09,5.69166
2020-09-10,5.27963
2020-09-11,4.92667
2020-09-12,3.90471
2020-09-13,4.18235
2020-09-14,5.15262
2020-09-15,5.12309
2020-09-16,6.85983
2020-09-17,5.55284
2020-09-18,5.36972
2020-09-19,4.50135
2020-09-20,5.13195
2020-09-21,7.69128
2020-09-22,7.43874
2020-09-23,10.6272
2020-09-24,12.79813
2020-09-25,24.78401
2020-09-26,7.25709
2020-09-27,5.70939
2020-09-28,7.48305
2020-09-29,4.58257
2020-09-30,2.98613
2020-10-01,2.9241
2020-10-02,3.0009
2020-10-03,3.09394
2020-10-04,3.33318
2020-10-05,4.28868
2020-10-06,3.91357
2020-10-07,4.09374
2020-10-08,4.55451
2020-10-09,2.99351
2020-10-10,3.34204
2020-10-11,3.28002
2020-10-12,4.51168
2020-10-13,4.94735
2020-10-14,4.70515
2020-10-15,3.98594
2020-10-16,3.83678
2020-10-17,3.31989
2020-10-18,3.40111
2020-10-19,4.22961
2020-10-20,4.51907
2020-10-21,3.78213
2020-10-22,3.67728
2020-10-23,3.55027
2020-10-24,3.07769
2020-10-25,3.26968
2020-10-26,7.11089
2020-10-27,4.06716
2020-10-28,5.36972
2020-10-29,7.40478
2020-10-30,5.32984
2020-10-31,4.21927
2020-11-01,12.5899
2020-11-02,4.98279
2020-11-03,4.92519
2020-11-04,4.13953
2020-11-05,4.10408
2020-11-06,4.69333
2020-11-07,3.75851
2020-11-08,3.72011
2020-11-09,4.14691
2020-11-10,3.94458
2020-11-11,4.28425
2020-11-12,4.16758
2020-11-13,4.38468
2020-11-14,3.36419
2020-11-15,3.6507
2020-11-16,3.99923
2020-11-17,3.98446
2020-11-18,3.83825
2020-11-19,3.86631
2020-11-20,4.13805
2020-11-21,4.17202
