시군구,계약면적(㎡),전월세구분,계약년월,보증금(만원),월세(만원)
서울특별시 관악구 신림동,52.36,월세,201902,500,98
서울특별시 관악구 신림동,39.77,월세,202112,500,97
서울특별시 관악구 신림동,45,월세,201911,"4,000",97
서울특별시 관악구 신림동,39.92,월세,202104,200,96
서울특별시 관악구 신림동,29.8,월세,202110,"3,000",96
서울특별시 관악구 신림동,45,월세,201811,500,95
서울특별시 관악구 신림동,49.27,월세,202002,500,95
서울특별시 관악구 신림동,40.865,월세,202005,500,95
서울특별시 관악구 신림동,30,월세,201802,"1,000",95
서울특별시 관악구 신림동,60.57,월세,201804,"1,000",95
서울특별시 관악구 신림동,144.8,월세,201912,"1,000",95
서울특별시 관악구 신림동,66.84,월세,202003,"1,000",95
서울특별시 관악구 신림동,23.58,월세,202108,"1,000",95
서울특별시 관악구 신림동,104.94,월세,201607,"2,000",95
서울특별시 관악구 신림동,39,월세,201703,"2,000",95
서울특별시 관악구 신림동,50.09,월세,201810,"2,000",95
서울특별시 관악구 신림동,49.5,월세,201901,"2,000",95
서울특별시 관악구 신림동,46.9,월세,201911,"2,000",95
서울특별시 관악구 신림동,42.83,월세,202007,"2,000",95
서울특별시 관악구 신림동,29.78,월세,202106,"2,000",95
서울특별시 관악구 신림동,66.88,월세,201903,"3,000",95
서울특별시 관악구 신림동,66.88,월세,202103,"3,000",95
서울특별시 관악구 신림동,65.38,월세,202108,"3,000",95
서울특별시 관악구 신림동,46.73,월세,201606,"5,000",95
서울특별시 관악구 신림동,75.75,월세,202110,"5,000",95
서울특별시 관악구 신림동,61.95,월세,202106,"6,000",95
서울특별시 관악구 신림동,43.68,월세,201911,500,95
서울특별시 관악구 신림동,28.5,월세,201910,"1,000",95
서울특별시 관악구 신림동,43.68,월세,201903,"1,500",95
서울특별시 관악구 신림동,43.68,월세,201912,"1,500",95
서울특별시 관악구 신림동,49.89,월세,201612,"1,500",94
서울특별시 관악구 신림동,38.28,월세,201809,"1,000",93
서울특별시 관악구 신림동,23.3,월세,202111,500,92
서울특별시 관악구 신림동,30.58,월세,202111,"2,000",92
서울특별시 관악구 신림동,48.56,월세,202110,"2,500",92
서울특별시 관악구 신림동,29.12,월세,201808,"3,000",92
서울특별시 관악구 신림동,42.78,월세,202103,"5,000",92
서울특별시 관악구 신림동,40.95,월세,202110,"5,000",92
