날짜,월세
2017-01-01,16.53
2017-01-02,30.08417
2017-01-03,37.90388
2017-01-04,39.94569
2017-01-05,23.48085
2017-01-06,21.91691
2017-01-07,13.69535
2017-01-08,11.72956
2017-01-09,18.94108
2017-01-10,32.7559
2017-01-11,15.59055
2017-01-12,15.72087
2017-01-13,16.88297
2017-01-14,10.94759
2017-01-15,12.5224
2017-01-16,42.72603
2017-01-17,17.77898
2017-01-18,16.43768
2017-01-19,15.34618
2017-01-20,15.43307
2017-01-21,10.94216
2017-01-22,9.26418
2017-01-23,12.37578
2017-01-24,11.75672
2017-01-25,11.12679
2017-01-26,10.60548
2017-01-27,7.27124
2017-01-28,7.14634
2017-01-29,7.82514
2017-01-30,10.17105
2017-01-31,21.81373
2017-02-01,17.40972
2017-02-02,18.01248
2017-02-03,16.13358
2017-02-04,10.46429
2017-02-05,11.09421
2017-02-06,27.45587
2017-02-07,22.2373
2017-02-08,22.53054
2017-02-09,18.94651
2017-02-10,20.57561
2017-02-11,11.33858
2017-02-12,11.44718
2017-02-13,17.57263
2017-02-14,16.11186
2017-02-15,15.95981
2017-02-16,17.18164
2017-02-17,14.54792
2017-02-18,10.448
2017-02-19,10.0896
2017-02-20,14.62394
2017-02-21,13.96687
2017-02-22,17.16535
2017-02-23,14.50991
2017-02-24,11.5938
2017-02-25,8.72115
2017-02-26,10.94216
2017-02-27,16.04127
2017-02-28,12.631
2017-03-01,12.70703
2017-03-02,15.51995
2017-03-03,11.97393
2017-03-04,9.16644
2017-03-05,9.8941
2017-03-06,13.20119
2017-03-07,13.4184
2017-03-08,12.65815
2017-03-09,12.15313
2017-03-10,9.04154
2017-03-11,8.57453
2017-03-12,9.56285
2017-03-13,10.22535
2017-03-14,9.85609
2017-03-15,10.46429
2017-03-16,10.2688
2017-03-17,9.88867
2017-03-18,8.29758
2017-03-19,8.91121
2017-03-20,10.7521
2017-03-21,9.63888
2017-03-22,9.18816
2017-03-23,9.13385
2017-03-24,10.14933
2017-03-25,8.23784
2017-03-26,8.17268
2017-03-27,9.32392
2017-03-28,9.22074
2017-03-29,9.45967
2017-03-30,9.18273
2017-03-31,8.70486
2017-04-01,7.07032
2017-04-02,7.41243
2017-04-03,8.81346
2017-04-04,8.38446
2017-04-05,8.57453
2017-04-06,8.97094
2017-04-07,8.24327
2017-04-08,6.78251
2017-04-09,7.11919
2017-04-10,9.05783
2017-04-11,9.7149
2017-04-12,8.67227
2017-04-13,8.52565
2017-04-14,8.265
2017-04-15,6.70105
2017-04-16,7.37442
2017-04-17,11.35487
2017-04-18,34.74341
2017-04-19,10.38284
2017-04-20,8.75373
2017-04-21,8.29758
2017-04-22,6.3698
2017-04-23,6.41868
2017-04-24,7.68395
2017-04-25,6.93456
2017-04-26,7.67309
2017-04-27,7.70567
2017-04-28,7.72196
2017-04-29,6.00054
2017-04-30,5.68558
2017-05-01,7.75997
2017-05-02,7.90116
2017-05-03,6.41868
2017-05-04,7.07575
2017-05-05,6.29378
2017-05-06,6.3155
2017-05-07,6.7445
2017-05-08,8.87863
2017-05-09,6.66847
2017-05-10,8.96551
2017-05-11,8.80803
2017-05-12,8.23784
2017-05-13,6.75536
2017-05-14,7.14091
2017-05-15,8.81889
2017-05-16,9.03068
2017-05-17,9.37279
2017-05-18,9.1773
2017-05-19,8.79174
2017-05-20,7.90116
2017-05-21,20.95031
2017-05-22,15.87292
2017-05-23,11.01276
2017-05-24,11.80016
2017-05-25,12.47895
2017-05-26,13.09258
2017-05-27,7.50475
2017-05-28,8.05321
2017-05-29,11.75128
2017-05-30,9.62259
2017-05-31,9.31849
2017-06-01,9.88324
2017-06-02,8.75373
2017-06-03,7.24409
2017-06-04,7.836
2017-06-05,9.39451
2017-06-06,7.81428
2017-06-07,10.35568
2017-06-08,10.30138
2017-06-09,10.15476
2017-06-10,7.99348
2017-06-11,8.71572
2017-06-12,10.04615
2017-06-13,10.31767
2017-06-14,9.84523
2017-06-15,10.16019
2017-06-16,9.60086
2017-06-17,7.68395
2017-06-18,7.80885
2017-06-19,9.67146
2017-06-20,8.79174
2017-06-21,8.29758
2017-06-22,8.86234
2017-06-23,8.68313
2017-06-24,8.0695
2017-06-25,7.24952
2017-06-26,9.85066
2017-06-27,9.22074
2017-06-28,9.30219
2017-06-29,8.88406
2017-06-30,12.37035
2017-07-01,6.52185
2017-07-02,6.57073
2017-07-03,9.23703
2017-07-04,8.95465
2017-07-05,9.5357
2017-07-06,8.61797
2017-07-07,8.56367
2017-07-08,6.53814
2017-07-09,7.67852
2017-07-10,10.05158
2017-07-11,9.40537
2017-07-12,9.39451
2017-07-13,10.55118
2017-07-14,10.92587
2017-07-15,10.77382
2017-07-16,10.35568
2017-07-17,13.68449
2017-07-18,13.41297
2017-07-19,13.38582
2017-07-20,13.22834
2017-07-21,13.57588
2017-07-22,10.63263
2017-07-23,9.86152
2017-07-24,13.15775
2017-07-25,12.59842
2017-07-26,13.95601
2017-07-27,11.92506
2017-07-28,11.78387
2017-07-29,8.73201
2017-07-30,9.47597
2017-07-31,12.89709
2017-08-01,11.84903
2017-08-02,12.83736
2017-08-03,12.04995
2017-08-04,11.08878
2017-08-05,8.42791
2017-08-06,8.71029
2017-08-07,12.38121
2017-08-08,13.7225
2017-08-09,13.40211
2017-08-10,14.30355
2017-08-11,13.58674
2017-08-12,10.45343
2017-08-13,10.23622
2017-08-14,15.22128
2017-08-15,11.64811
2017-08-16,14.0266
2017-08-17,15.38419
2017-08-18,13.95058
2017-08-19,11.9142
2017-08-20,13.46728
2017-08-21,16.69291
2017-08-22,16.70377
2017-08-23,16.69834
2017-08-24,16.69834
2017-08-25,17.04045
2017-08-26,13.06543
2017-08-27,14.38501
2017-08-28,18.713
2017-08-29,16.83953
2017-08-30,16.38881
2017-08-31,16.71463
2017-09-01,15.71001
2017-09-02,13.47271
2017-09-03,15.60684
2017-09-04,20.76024
2017-09-05,18.52837
2017-09-06,16.88297
2017-09-07,24.93076
2017-09-08,26.30464
2017-09-09,24.72983
2017-09-10,33.95601
2017-09-11,52.43551
2017-09-12,55.81862
2017-09-13,56.74178
2017-09-14,49.92669
2017-09-15,53.03285
2017-09-16,14.67282
2017-09-17,12.92967
2017-09-18,16.62231
2017-09-19,11.76215
2017-09-20,11.01819
2017-09-21,10.3774
2017-09-22,9.87781
2017-09-23,7.58077
2017-09-24,8.05321
2017-09-25,10.02443
2017-09-26,9.01439
2017-09-27,8.80803
2017-09-28,8.64512
2017-09-29,8.36817
2017-09-30,6.21232
2017-10-01,5.9571
2017-10-02,5.83763
2017-10-03,5.22943
2017-10-04,5.0991
2017-10-05,5.2783
2017-10-06,6.58159
2017-10-07,5.95166
2017-10-08,6.63589
2017-10-09,7.98805
2017-10-10,10.19277
2017-10-11,10.70323
2017-10-12,10.25794
2017-10-13,10.58919
2017-10-14,8.03149
2017-10-15,7.92831
2017-10-16,10.76839
2017-10-17,9.60629
2017-10-18,10.16019
2017-10-19,9.86695
2017-10-20,9.19359
2017-10-21,8.18897
2017-10-22,8.46049
2017-10-23,12.631
2017-10-24,12.03909
2017-10-25,11.91963
2017-10-26,11.77844
2017-10-27,19.12571
2017-10-28,11.62096
2017-10-29,14.45017
2017-10-30,76.66033
2017-10-31,20.29866
2017-11-01,14.68368
2017-11-02,14.04289
2017-11-03,13.70078
2017-11-04,11.86532
2017-11-05,10.65435
2017-11-06,11.62639
2017-11-07,10.71952
2017-11-08,12.86994
2017-11-09,14.73255
2017-11-10,16.00325
2017-11-11,11.01819
2017-11-12,13.90171
2017-11-13,53.20662
2017-11-14,19.41352
2017-11-15,20.81998
2017-11-16,38.96823
2017-11-17,18.51208
2017-11-18,11.32229
2017-11-19,10.17105
2017-11-20,13.04371
2017-11-21,13.45099
2017-11-22,21.83546
2017-11-23,22.70974
2017-11-24,29.79636
2017-11-25,20.67879
2017-11-26,17.10019
2017-11-27,19.69046
2017-11-28,20.95031
2017-11-29,21.81373
2017-11-30,17.87673
2017-12-01,20.07059
2017-12-02,17.67037
2017-12-03,16.00868
2017-12-04,18.60982
2017-12-05,19.89682
2017-12-06,21.00461
2017-12-07,21.72685
2017-12-08,28.0152
2017-12-09,31.69698
2017-12-10,16.26934
2017-12-11,16.44854
2017-12-12,23.24735
2017-12-13,21.2001
2017-12-14,21.37387
2017-12-15,25.17512
2017-12-16,16.12815
2017-12-17,16.87754
2017-12-18,31.6644
2017-12-19,23.8827
2017-12-20,27.07032
2017-12-21,43.01927
2017-12-22,100
2017-12-23,19.1963
2017-12-24,13.87455
2017-12-25,17.25767
2017-12-26,21.49877
2017-12-27,20.67879
2017-12-28,26.549
2017-12-29,47.17349
2017-12-30,20.31496
2017-12-31,15.31903
