시군구,계약면적(㎡),전월세구분,계약년월,보증금(만원),월세(만원)
경기도 수원영통구 이의동,47.58,월세,201907,"1,000",99
경기도 수원영통구 이의동,47.58,월세,201908,"1,000",99
경기도 수원영통구 이의동,38.65,월세,202008,"1,000",99
경기도 수원영통구 이의동,47.58,월세,202111,"1,000",99
경기도 수원영통구 이의동,38.65,월세,201909,"1,000",97
경기도 수원영통구 이의동,38.65,월세,202003,"1,000",97
경기도 수원영통구 이의동,47.58,월세,202108,"4,000",97
경기도 수원영통구 이의동,59.63,월세,202006,"5,000",97
경기도 수원영통구 이의동,47.58,월세,202001,"3,000",96
경기도 수원팔달구 우만동,28.76,월세,202104,"3,000",95
경기도 수원팔달구 우만동,28.78,월세,202110,"3,000",95
경기도 수원영통구 이의동,41.47,월세,201909,500,95
경기도 수원영통구 이의동,46.91,월세,201611,"1,000",95
경기도 수원영통구 이의동,46.91,월세,201706,"1,000",95
경기도 수원영통구 이의동,46.91,월세,201707,"1,000",95
경기도 수원영통구 이의동,46.91,월세,201709,"1,000",95
경기도 수원영통구 이의동,46.91,월세,201712,"1,000",95
경기도 수원영통구 이의동,40.39,월세,201701,"1,000",95
경기도 수원영통구 이의동,39.91,월세,201706,"1,000",95
경기도 수원영통구 이의동,39.16,월세,201806,"1,000",95
경기도 수원영통구 이의동,38.65,월세,201807,"1,000",95
경기도 수원영통구 이의동,38.65,월세,201807,"1,000",95
경기도 수원영통구 이의동,46.91,월세,201804,"1,000",95
경기도 수원영통구 이의동,46.91,월세,201805,"1,000",95
경기도 수원영통구 이의동,46.91,월세,201808,"1,000",95
경기도 수원영통구 이의동,46.91,월세,201809,"1,000",95
경기도 수원영통구 원천동,83.66,월세,201901,"1,000",95
경기도 수원영통구 원천동,83.66,월세,201903,"1,000",95
경기도 수원영통구 이의동,38.65,월세,201903,"1,000",95
경기도 수원영통구 이의동,36.62,월세,202101,"1,000",95
경기도 수원영통구 이의동,40.53,월세,202103,"1,000",95
경기도 수원영통구 이의동,59.76,월세,201709,"2,000",95
경기도 수원영통구 원천동,83.66,월세,201810,"2,000",95
경기도 수원영통구 원천동,84.95,월세,201903,"2,000",95
경기도 수원영통구 이의동,38.65,월세,201903,"2,000",95
경기도 수원영통구 이의동,47.58,월세,201905,"2,000",95
경기도 수원영통구 이의동,46.99,월세,201903,"2,000",95
경기도 수원영통구 이의동,47.58,월세,202005,"2,000",95
경기도 수원영통구 이의동,38.65,월세,202007,"2,000",95
경기도 수원영통구 이의동,46.99,월세,202007,"2,000",95
경기도 수원영통구 이의동,62.99,월세,201705,"3,000",95
경기도 수원영통구 원천동,83.66,월세,201906,"3,000",95
경기도 수원영통구 이의동,62.99,월세,201912,"3,000",95
경기도 수원영통구 이의동,35.19,월세,202107,"3,000",95
경기도 수원영통구 이의동,59.19,월세,202008,"5,000",95
경기도 수원영통구 이의동,59.35,월세,202107,"6,000",95
경기도 수원영통구 이의동,38.65,월세,201908,"1,000",94
경기도 수원영통구 이의동,46.91,월세,202012,"1,000",94
경기도 수원영통구 이의동,40.7,월세,202102,"1,000",94
경기도 수원영통구 이의동,59.35,월세,202003,"5,000",93
경기도 수원영통구 이의동,59.35,월세,202011,"5,000",93
경기도 수원영통구 이의동,39.91,월세,201707,"1,000",92
경기도 수원영통구 이의동,38.65,월세,202002,"1,000",92
경기도 수원영통구 이의동,39.91,월세,202108,"1,000",92
경기도 수원영통구 이의동,40.53,월세,202103,"1,000",92
경기도 수원영통구 원천동,92,월세,201809,"3,000",90
경기도 수원팔달구 우만동,84.84,월세,202005,"3,000",90
경기도 수원팔달구 우만동,41.76,월세,202111,"3,000",90
경기도 수원팔달구 우만동,85,월세,201601,"5,000",90
경기도 수원영통구 원천동,66,월세,202106,"5,000",90
경기도 수원영통구 이의동,41.47,월세,201810,500,90
경기도 수원영통구 원천동,91.05,월세,201602,"1,000",90
경기도 수원영통구 원천동,90.91,월세,201609,"1,000",90
경기도 수원영통구 원천동,90.15,월세,201605,"1,000",90
경기도 수원영통구 이의동,36.43,월세,201609,"1,000",90
경기도 수원영통구 이의동,36.78,월세,201609,"1,000",90
경기도 수원영통구 이의동,39.31,월세,201611,"1,000",90
경기도 수원영통구 이의동,42.28,월세,201611,"1,000",90
