날짜,월세
2021-01-01,39.17208
2021-01-02,35.28041
2021-01-03,32.63213
2021-01-04,49.24683
2021-01-05,32.12125
2021-01-06,31.67799
2021-01-07,26.92235
2021-01-08,26.49036
2021-01-09,24.05619
2021-01-10,25.41602
2021-01-11,43.18395
2021-01-12,30.2806
2021-01-13,23.61293
2021-01-14,25.91563
2021-01-15,25.987
2021-01-16,18.44408
2021-01-17,23.05322
2021-01-18,26.39269
2021-01-19,23.94725
2021-01-20,26.19736
2021-01-21,23.15089
2021-01-22,25.35216
2021-01-23,19.57477
2021-01-24,18.34266
2021-01-25,24.94271
2021-01-26,24.22899
2021-01-27,27.59851
2021-01-28,29.25885
2021-01-29,100
2021-01-30,23.47394
2021-01-31,23.36876
2021-02-01,55.56891
2021-02-02,36.10307
2021-02-03,28.31599
2021-02-04,28.49629
2021-02-05,28.74798
2021-02-06,20.23214
2021-02-07,20.80312
2021-02-08,31.08448
2021-02-09,26.21238
2021-02-10,26.30254
2021-02-11,18.90612
2021-02-12,15.49152
2021-02-13,15.04827
2021-02-14,20.78809
2021-02-15,34.96863
2021-02-16,29.25134
2021-02-17,26.4866
2021-02-18,28.40238
2021-02-19,25.75786
2021-02-20,21.05856
2021-02-21,19.86401
2021-02-22,27.36937
2021-02-23,27.82389
2021-02-24,22.80906
2021-02-25,24.29285
2021-02-26,21.76101
2021-02-27,16.63724
2021-02-28,18.32387
2021-03-01,22.12538
2021-03-02,27.72247
2021-03-03,21.84741
2021-03-04,20.69043
2021-03-05,19.417
2021-03-06,14.15048
2021-03-07,16.29164
2021-03-08,19.98422
2021-03-09,17.71158
2021-03-10,17.15938
2021-03-11,16.94526
2021-03-12,15.73194
2021-03-13,12.4676
2021-03-14,13.49686
2021-03-15,16.75744
2021-03-16,15.78453
2021-03-17,16.15266
2021-03-18,16.32921
2021-03-19,13.95514
2021-03-20,12.23094
2021-03-21,13.4067
2021-03-22,16.02118
2021-03-23,15.68686
2021-03-24,18.87231
2021-03-25,15.18725
2021-03-26,14.9243
2021-03-27,12.11825
2021-03-28,13.44427
2021-03-29,15.29243
2021-03-30,15.05578
2021-03-31,17.0542
2021-04-01,15.42015
2021-04-02,14.89049
2021-04-03,11.88535
2021-04-04,13.80113
2021-04-05,15.60046
2021-04-06,14.9506
2021-04-07,14.41718
2021-04-08,15.20604
2021-04-09,14.13545
2021-04-10,13.01979
2021-04-11,13.92509
2021-04-12,16.66729
2021-04-13,15.1572
2021-04-14,15.19477
2021-04-15,14.91303
2021-04-16,16.00616
2021-04-17,12.53521
2021-04-18,12.56151
2021-04-19,15.29995
2021-04-20,13.34284
2021-04-21,13.96266
2021-04-22,15.06705
2021-04-23,15.08583
2021-04-24,12.06941
2021-04-25,12.40374
2021-04-26,14.51485
2021-04-27,13.67717
2021-04-28,13.34284
2021-04-29,14.41343
2021-04-30,15.00694
2021-05-01,11.79519
2021-05-02,12.04688
2021-05-03,16.08128
2021-05-04,15.07456
2021-05-05,12.23094
2021-05-06,14.01149
2021-05-07,13.36163
2021-05-08,10.99132
2021-05-09,11.74636
2021-05-10,15.88219
2021-05-11,14.43597
2021-05-12,13.94387
2021-05-13,13.53067
2021-05-14,13.79362
2021-05-15,10.88614
