시군구,계약면적(㎡),전월세구분,계약년월,보증금(만원),월세(만원)
서울특별시 서대문구 창천동,36.39,월세,201609,"5,000",99
서울특별시 서대문구 연희동,31.74,월세,202103,300,98
서울특별시 서대문구 대현동,29.45,월세,202109,"1,000",97
서울특별시 서대문구 연희동,75,월세,201807,500,95
서울특별시 서대문구 연희동,31.95,월세,201604,"1,000",95
서울특별시 서대문구 창천동,30,월세,201712,"1,000",95
서울특별시 서대문구 창천동,30,월세,201912,"1,000",95
서울특별시 서대문구 창천동,48.49,월세,202001,"1,000",95
서울특별시 서대문구 창천동,30,월세,202002,"1,000",95
서울특별시 서대문구 창천동,30,월세,202008,"1,000",95
서울특별시 서대문구 창천동,25,월세,202101,"1,000",95
서울특별시 서대문구 창천동,59.67,월세,202104,"1,000",95
서울특별시 서대문구 창천동,60,월세,202108,"1,000",95
서울특별시 서대문구 연희동,60,월세,202109,"1,000",95
서울특별시 서대문구 창천동,40,월세,202109,"1,000",95
서울특별시 서대문구 창천동,63.09,월세,202109,"1,000",95
서울특별시 서대문구 창천동,23.53,월세,201601,"2,000",95
서울특별시 서대문구 연희동,43.21,월세,201608,"2,000",95
서울특별시 서대문구 창천동,80.16,월세,202103,"2,000",95
서울특별시 서대문구 연희동,82.47,월세,201606,"3,000",95
서울특별시 서대문구 연희동,45.49,월세,201611,"3,000",95
서울특별시 서대문구 연희동,31.95,월세,201808,"3,000",95
서울특별시 서대문구 연희동,91.72,월세,201705,"5,000",95
서울특별시 서대문구 연희동,91.72,월세,201907,"5,000",95
서울특별시 서대문구 연희동,40.01,월세,201808,"9,000",95
서울특별시 서대문구 대현동,26.76,월세,201808,500,95
서울특별시 서대문구 대현동,29.45,월세,201906,"1,000",95
서울특별시 서대문구 대현동,18.87,월세,202001,"1,000",95
서울특별시 서대문구 대현동,29.62,월세,202004,"1,000",95
서울특별시 서대문구 대현동,28.3,월세,202012,"1,000",95
서울특별시 서대문구 대현동,29.45,월세,202102,"1,000",95
서울특별시 서대문구 대현동,19.12,월세,202109,"1,000",95
서울특별시 서대문구 창천동,30.66,월세,202108,"1,000",94
서울특별시 서대문구 대현동,62.4,월세,201608,"1,000",93
서울특별시 서대문구 대현동,29.64,월세,202101,"1,000",93
서울특별시 서대문구 대현동,29.45,월세,201803,"1,000",92
