날짜,월세
2021-01-02,43.30630682
2021-01-03,25.39833509
2021-01-04,26.43168349
2021-01-05,15.48861182
2021-01-06,14.25028879
2021-01-07,14.02255663
2021-01-08,12.61661268
2021-01-09,11.36824494
2021-01-10,10.51256215
2021-01-11,20.20459796
2021-01-12,9.536813822
2021-01-13,8.843886545
2021-01-14,21.08774672
2021-01-15,7.210210436
2021-01-16,5.2662473
2021-01-17,5.281314349
2021-01-18,8.0833145
2021-01-19,7.045100698
2021-01-20,6.849856863
2021-01-21,8.981373361
2021-01-22,17.58764
2021-01-23,6.732302496
2021-01-24,5.964196926
2021-01-25,8.606109688
2021-01-26,7.072566672
2021-01-27,6.624792828
2021-01-28,6.169328512
2021-01-29,8.826308322
2021-01-30,5.811643062
2021-01-31,5.081048164
2021-02-01,6.772324343
2021-02-02,6.584770981
2021-02-03,6.854879212
2021-02-04,8.931463764
2021-02-05,9.229194917
2021-02-06,7.893093014
2021-02-07,13.39209482
2021-02-08,9.619368691
2021-02-09,8.986395711
2021-02-10,12.82927779
2021-02-11,6.289551002
2021-02-12,4.843428256
2021-02-13,4.668273818
2021-02-14,5.654066847
2021-02-15,13.49976144
2021-02-16,11.21051178
2021-02-17,11.903596
2021-02-18,11.11806916
2021-02-19,9.89967857
2021-02-20,6.206996133
2021-02-21,6.852368038
2021-02-22,14.37788785
2021-02-23,9.141617699
2021-02-24,7.225120536
2021-02-25,7.460386219
2021-02-26,7.900626538
2021-02-27,5.884153232
2021-02-28,5.246157903
2021-03-01,6.387015971
2021-03-02,8.178425242
2021-03-03,7.210210436
2021-03-04,6.572215107
2021-03-05,6.787391392
2021-03-06,4.913427251
2021-03-07,5.041026317
2021-03-08,5.816665411
2021-03-09,5.809131887
2021-03-10,5.994331023
2021-03-11,5.423823515
2021-03-12,5.133625885
2021-03-13,4.142967455
2021-03-14,4.445720958
2021-03-15,5.023605042
2021-03-16,5.236270152
2021-03-17,5.581399729
2021-03-18,5.313802672
2021-03-19,5.023605042
2021-03-20,4.020390739
2021-03-21,4.137945106
2021-03-22,5.106159912
2021-03-23,5.226225453
2021-03-24,4.84593943
2021-03-25,4.485742805
2021-03-26,4.603297172
2021-03-27,3.710103712
2021-03-28,3.862657576
2021-03-29,5.046048667
2021-03-30,4.818473457
2021-03-31,4.630763146
2021-04-01,4.665762644
2021-04-02,4.365520315
2021-04-03,3.690171262
2021-04-04,3.95274597
2021-04-05,4.630763146
2021-04-06,4.835894732
2021-04-07,4.590741299
2021-04-08,4.325498468
2021-04-09,4.530787002
2021-04-10,3.652503641
2021-04-11,3.945212445
2021-04-12,5.028627392
2021-04-13,4.768406911
2021-04-14,4.335543167
2021-04-15,4.478209281
2021-04-16,4.08787856
2021-04-17,3.680126563
2021-04-18,3.900325197
2021-04-19,4.355632565
2021-04-20,4.027767315
2021-04-21,4.157877555
2021-04-22,4.095412084
2021-04-23,3.840213952
2021-04-24,3.262329868
2021-04-25,3.652503641
2021-04-26,4.233055849
2021-04-27,4.273077696
2021-04-28,4.077833861
2021-04-29,4.298032495
2021-04-30,3.817770328
2021-05-01,3.379884235
2021-05-02,3.352418261
2021-05-03,4.745806338
2021-05-04,4.433165085
2021-05-05,3.800192105
2021-05-06,4.513208779
2021-05-07,4.300543669
2021-05-08,3.292307016
2021-05-09,3.597571694
2021-05-10,5.161091859
2021-05-11,4.64331902
2021-05-12,5.163603033
2021-05-13,4.665762644
2021-05-14,4.22301115
2021-05-15,3.717637236
2021-05-16,4.085367385
2021-05-17,4.998493295
2021-05-18,4.745806338
2021-05-19,3.975346542
2021-05-20,5.283825524
2021-05-21,4.85096178
2021-05-22,3.767703782
2021-05-23,3.977857717
2021-05-24,5.781665913
2021-05-25,5.288690925
2021-05-26,5.216180754
2021-05-27,4.98609437
2021-05-28,4.725873889
2021-05-29,3.687660087
2021-05-30,3.732704284
2021-05-31,5.163603033
2021-06-01,4.948583697
2021-06-02,4.953449098
2021-06-03,4.365520315
2021-06-04,4.640807845
2021-06-05,3.772726131
2021-06-06,4.177966953
2021-06-07,5.093604038
2021-06-08,4.863517654
2021-06-09,4.843428256
2021-06-10,5.291202099
2021-06-11,4.703273316
2021-06-12,3.650149415
2021-06-13,3.950234795
2021-06-14,4.968516147
2021-06-15,4.550719452
2021-06-16,4.615696098
2021-06-17,4.252988298
2021-06-18,4.398165587
2021-06-19,3.670081864
2021-06-20,3.745103209
2021-06-21,5.113693436
2021-06-22,4.598274823
2021-06-23,4.645830194
2021-06-24,4.665762644
2021-06-25,4.23792125
2021-06-26,3.650149415
2021-06-27,3.755147908
2021-06-28,4.830872382
2021-06-29,4.247965948
2021-06-30,4.263032997
2021-07-01,5.206136055
2021-07-02,4.308077194
2021-07-03,3.614992969
2021-07-04,3.862657576
2021-07-05,5.63397745
2021-07-06,5.376268143
2021-07-07,5.141159409
2021-07-08,6.424526644
2021-07-09,5.711509969
2021-07-10,4.363166089
2021-07-11,4.603297172
2021-07-12,6.552125709
2021-07-13,6.224417407
2021-07-14,6.444616041
2021-07-15,6.697302998
2021-07-16,6.059307669
2021-07-17,4.880938928
2021-07-18,4.84593943
2021-07-19,6.384504796
2021-07-20,6.284528653
2021-07-21,6.289551002
2021-07-22,6.024308171
2021-07-23,5.679021646
2021-07-24,4.233055849
2021-07-25,4.803406409
2021-07-26,6.452149566
2021-07-27,6.109374215
2021-07-28,5.486445934
2021-07-29,6.074374717
2021-07-30,8.073269801
2021-07-31,6.251883381
2021-08-01,5.07853699
2021-08-02,6.104351866
2021-08-03,6.317016976
2021-08-04,6.226928582
2021-08-05,6.004218774
2021-08-06,5.358846869
2021-08-07,4.515719954
2021-08-08,4.953449098
2021-08-09,6.784880217
2021-08-10,6.552125709
2021-08-11,7.062521973
2021-08-12,7.31018658
2021-08-13,6.019285822
2021-08-14,5.101137562
2021-08-15,5.70648762
2021-08-16,6.617259304
