시군구,계약면적(㎡),전월세구분,계약년월,보증금(만원),월세(만원)
인천광역시 미추홀구 용현동,76.2,월세,201912,500,90
인천광역시 미추홀구 용현동,76.2,월세,201801,500,90
인천광역시 미추홀구 용현동,165,월세,201601,"2,000",90
인천광역시 미추홀구 용현동,82.52,월세,202102,"2,500",90
인천광역시 미추홀구 용현동,52.43,월세,202108,500,90
인천광역시 미추홀구 용현동,52.43,월세,202108,500,90
인천광역시 미추홀구 용현동,56.09,월세,202110,"1,000",90
인천광역시 미추홀구 용현동,53.39,월세,202111,"1,000",90
인천광역시 미추홀구 용현동,58.65,월세,202111,"5,000",90
인천광역시 미추홀구 용현동,136.46,월세,201708,"1,000",85
인천광역시 미추홀구 용현동,136.46,월세,202008,"1,000",85
인천광역시 미추홀구 용현동,56.09,월세,202108,"1,000",85
인천광역시 미추홀구 용현동,53.39,월세,202108,"1,000",85
인천광역시 미추홀구 용현동,56.09,월세,202108,"1,000",85
인천광역시 미추홀구 용현동,56.09,월세,202108,"1,000",85
인천광역시 미추홀구 용현동,56.09,월세,202109,"1,000",85
인천광역시 미추홀구 용현동,56.09,월세,202109,"1,000",85
인천광역시 미추홀구 용현동,56.09,월세,202110,"1,000",85
인천광역시 미추홀구 용현동,120,월세,202203,500,80
인천광역시 미추홀구 용현동,47.705,월세,202110,"1,000",80
인천광역시 미추홀구 용현동,89.05,월세,202102,"1,000",80
인천광역시 미추홀구 용현동,136.46,월세,201608,"1,000",80
인천광역시 미추홀구 용현동,53.39,월세,202107,"1,000",80
인천광역시 미추홀구 용현동,52.7,월세,202108,"1,000",80
인천광역시 미추홀구 용현동,53.39,월세,202108,"1,000",80
인천광역시 미추홀구 용현동,53.39,월세,202108,"1,200",80
인천광역시 미추홀구 용현동,81.33,월세,201707,"2,000",80
인천광역시 미추홀구 용현동,81.33,월세,202002,"2,000",80
인천광역시 미추홀구 용현동,40.85,월세,202112,"2,000",80
인천광역시 미추홀구 용현동,53.39,월세,202112,"2,500",80
인천광역시 미추홀구 용현동,64.11,월세,202010,"1,300",78
인천광역시 미추홀구 용현동,55.68,월세,202102,500,75
인천광역시 미추홀구 용현동,62.04,월세,201712,500,75
인천광역시 미추홀구 용현동,55.86,월세,201712,500,75
인천광역시 미추홀구 용현동,52.43,월세,202109,500,75
인천광역시 미추홀구 용현동,52.7,월세,202109,500,75
인천광역시 미추홀구 용현동,52.7,월세,202109,700,75
인천광역시 미추홀구 용현동,47.26,월세,202109,"1,000",75
인천광역시 미추홀구 용현동,52.43,월세,202109,"1,000",75
인천광역시 미추홀구 용현동,40.85,월세,202109,"1,000",75
인천광역시 미추홀구 용현동,101.92,월세,201712,"2,000",73
인천광역시 미추홀구 용현동,50.7881,월세,201803,500,70
인천광역시 미추홀구 용현동,47.43,월세,202204,500,70
인천광역시 미추홀구 용현동,118.72,월세,201607,500,70
인천광역시 미추홀구 용현동,59.74,월세,201808,"1,000",70
인천광역시 미추홀구 용현동,68.53,월세,201806,"1,000",70
인천광역시 미추홀구 용현동,66,월세,202007,"1,000",70
인천광역시 미추홀구 용현동,71.53,월세,202104,"2,000",70
인천광역시 미추홀구 용현동,72.93,월세,202204,"2,000",70
인천광역시 미추홀구 용현동,115.36,월세,201606,"2,000",70
인천광역시 미추홀구 용현동,94.14,월세,201806,"2,000",70
인천광역시 미추홀구 용현동,20,월세,202102,"3,000",70
인천광역시 미추홀구 용현동,81.33,월세,201708,"3,000",70
인천광역시 미추홀구 용현동,119.64,월세,202104,"4,000",70
인천광역시 미추홀구 용현동,59.24,월세,201702,500,70
인천광역시 미추홀구 용현동,59.24,월세,201710,500,70
인천광역시 미추홀구 용현동,66.19,월세,201801,500,70
인천광역시 미추홀구 용현동,66.19,월세,201801,500,70
인천광역시 미추홀구 용현동,65.08,월세,201801,500,70
인천광역시 미추홀구 용현동,66.19,월세,201801,500,70
인천광역시 미추홀구 용현동,65.08,월세,201801,500,70
인천광역시 미추홀구 용현동,55.86,월세,201801,500,70
인천광역시 미추홀구 용현동,65.08,월세,201802,500,70
인천광역시 미추홀구 용현동,66.19,월세,201901,500,70
인천광역시 미추홀구 용현동,55.86,월세,201911,500,70
인천광역시 미추홀구 용현동,47.26,월세,202108,600,70
인천광역시 미추홀구 용현동,47.26,월세,202108,800,70
인천광역시 미추홀구 용현동,29.9,월세,201902,"1,000",70
인천광역시 미추홀구 용현동,29.9,월세,201911,"1,000",70
인천광역시 미추홀구 용현동,68.03,월세,202009,"1,000",70
인천광역시 미추홀구 용현동,28.49,월세,202112,"1,000",70
인천광역시 미추홀구 용현동,28.49,월세,202112,"1,000",70
인천광역시 미추홀구 용현동,29.9,월세,202101,"1,000",70
인천광역시 미추홀구 용현동,47.26,월세,202108,"1,000",70
인천광역시 미추홀구 용현동,58.67,월세,202006,"2,000",70
인천광역시 미추홀구 용현동,40.85,월세,202107,"2,000",70
인천광역시 미추홀구 용현동,52.7,월세,202109,"2,000",70
인천광역시 미추홀구 용현동,83.07,월세,201706,"3,000",70
인천광역시 미추홀구 용현동,40,월세,201907,300,68
인천광역시 미추홀구 용현동,66,월세,201712,500,68
인천광역시 미추홀구 용현동,59.71,월세,202008,500,68
인천광역시 미추홀구 용현동,29.9,월세,201912,"1,000",68
인천광역시 미추홀구 용현동,103.52,월세,202203,"5,000",67
인천광역시 미추홀구 용현동,29.9,월세,202101,"1,000",66
인천광역시 미추홀구 용현동,58.92,월세,202102,300,65
인천광역시 미추홀구 용현동,54.8964,월세,201901,500,65
인천광역시 미추홀구 용현동,51.68,월세,202011,500,65
인천광역시 미추홀구 용현동,63.07,월세,202104,500,65
인천광역시 미추홀구 용현동,99,월세,201601,500,65
인천광역시 미추홀구 용현동,39.6,월세,202001,500,65
인천광역시 미추홀구 용현동,76.85,월세,202003,500,65
인천광역시 미추홀구 용현동,39.6,월세,201801,500,65
인천광역시 미추홀구 용현동,65.21,월세,201909,500,65
인천광역시 미추홀구 용현동,83.52,월세,202002,"1,000",65
인천광역시 미추홀구 용현동,33.07,월세,202101,"1,000",65
인천광역시 미추홀구 용현동,73.655,월세,201707,"1,500",65
인천광역시 미추홀구 용현동,63.07,월세,202105,"1,500",65
인천광역시 미추홀구 용현동,73.25,월세,201610,"2,000",65
인천광역시 미추홀구 용현동,76.86,월세,201709,"2,000",65
인천광역시 미추홀구 용현동,47.96,월세,202103,"2,000",65
인천광역시 미추홀구 용현동,22,월세,201902,"2,000",65
인천광역시 미추홀구 용현동,92.93,월세,202104,"2,000",65
인천광역시 미추홀구 용현동,55.86,월세,201711,500,65
인천광역시 미추홀구 용현동,59.24,월세,202107,500,65
인천광역시 미추홀구 용현동,28.49,월세,202109,500,65
인천광역시 미추홀구 용현동,59.92,월세,201701,"1,000",65
인천광역시 미추홀구 용현동,83.12,월세,201803,"1,000",65
인천광역시 미추홀구 용현동,59.36,월세,201802,"1,000",65
인천광역시 미추홀구 용현동,29.9,월세,201802,"1,000",65
인천광역시 미추홀구 용현동,29.9,월세,201907,"1,000",65
인천광역시 미추홀구 용현동,28.49,월세,202108,"1,000",65
인천광역시 미추홀구 용현동,59.95,월세,201702,"2,000",65
인천광역시 미추홀구 용현동,74.96,월세,201905,"2,000",65
인천광역시 미추홀구 용현동,63.53,월세,202005,"2,000",65
인천광역시 미추홀구 용현동,79.3,월세,201804,"2,500",65
인천광역시 미추홀구 용현동,59.41,월세,201904,"1,000",63
인천광역시 미추홀구 용현동,55.85,월세,201608,"1,000",63
인천광역시 미추홀구 용현동,54.8964,월세,201810,"1,000",63
인천광역시 미추홀구 용현동,29.9,월세,201906,"1,000",63
인천광역시 미추홀구 용현동,29.9,월세,202105,"1,000",63
인천광역시 미추홀구 용현동,66.94,월세,202002,"2,000",63
인천광역시 미추홀구 용현동,83.2,월세,202002,500,62
인천광역시 미추홀구 용현동,29.9,월세,201901,"1,000",62
인천광역시 미추홀구 용현동,29.9,월세,202109,"1,000",62
인천광역시 미추홀구 용현동,43,월세,201602,50,60
인천광역시 미추홀구 용현동,101.85,월세,202109,200,60
인천광역시 미추홀구 용현동,46.19,월세,201801,300,60
인천광역시 미추홀구 용현동,40,월세,201901,300,60
인천광역시 미추홀구 용현동,48.52,월세,201903,500,60
인천광역시 미추홀구 용현동,45.65,월세,201605,500,60
인천광역시 미추홀구 용현동,38.8,월세,201611,500,60
인천광역시 미추홀구 용현동,45.303,월세,201706,500,60
