날짜,월세
2020-01-01,15.95698
2020-01-02,18.91913
2020-01-03,18.24161
2020-01-04,14.64135
2020-01-05,19.37211
2020-01-06,21.26679
2020-01-07,20.53413
2020-01-08,21.59372
2020-01-09,26.74991
2020-01-10,41.31248
2020-01-11,20.98318
2020-01-12,19.93146
2020-01-13,22.99208
2020-01-14,24.49678
2020-01-15,22.13337
2020-01-16,22.83846
2020-01-17,21.74735
2020-01-18,14.57044
2020-01-19,14.82254
2020-01-20,27.60467
2020-01-21,18.0486
2020-01-22,17.90286
2020-01-23,19.79753
2020-01-24,11.62405
2020-01-25,10.74959
2020-01-26,10.26509
2020-01-27,11.96675
2020-01-28,16.53996
2020-01-29,18.45038
2020-01-30,18.15496
2020-01-31,24.02804
2020-02-01,14.96041
2020-02-02,14.01898
2020-02-03,32.29605
2020-02-04,95.75767
2020-02-05,40.47347
2020-02-06,27.20289
2020-02-07,35.11245
2020-02-08,22.53121
2020-02-09,17.82802
2020-02-10,30.94891
2020-02-11,41.76547
2020-02-12,33.67471
2020-02-13,33.06416
2020-02-14,27.99858
2020-02-15,17.0796
2020-02-16,16.66601
2020-02-17,27.47863
2020-02-18,21.05802
2020-02-19,19.39969
2020-02-20,22.55878
2020-02-21,22.56666
2020-02-22,16.09879
2020-02-23,15.76397
2020-02-24,22.18064
2020-02-25,31.20494
2020-02-26,29.53086
2020-02-27,21.32587
2020-02-28,18.98609
2020-02-29,12.86485
2020-03-01,12.86879
2020-03-02,20.08508
2020-03-03,17.62713
2020-03-04,15.69701
2020-03-05,14.8186
2020-03-06,13.93232
2020-03-07,11.29712
2020-03-08,11.48619
2020-03-09,15.0707
2020-03-10,14.08594
2020-03-11,16.2209
2020-03-12,14.38137
2020-03-13,14.70831
2020-03-14,11.38377
2020-03-15,13.02241
2020-03-16,25.99361
2020-03-17,36.71958
2020-03-18,23.02753
2020-03-19,26.32449
2020-03-20,17.38685
2020-03-21,11.62799
2020-03-22,11.76586
2020-03-23,16.52814
2020-03-24,15.1416
2020-03-25,14.40894
2020-03-26,13.6881
2020-03-27,14.84224
2020-03-28,17.54835
2020-03-29,13.27057
2020-03-30,15.84669
2020-03-31,18.36766
2020-04-01,28.85335
2020-04-02,18.41099
2020-04-03,26.77748
2020-04-04,12.77031
2020-04-05,12.37247
2020-04-06,22.6612
2020-04-07,22.15307
2020-04-08,16.74479
2020-04-09,14.04262
2020-04-10,13.1327
2020-04-11,10.0642
2020-04-12,11.78162
2020-04-13,15.70094
2020-04-14,23.49627
2020-04-15,13.46752
2020-04-16,14.03474
2020-04-17,13.22724
2020-04-18,10.00118
2020-04-19,11.12774
2020-04-20,15.46854
2020-04-21,14.77133
2020-04-22,15.8782
2020-04-23,23.89805
2020-04-24,14.64922
2020-04-25,11.64375
2020-04-26,11.82494
2020-04-27,19.52968
2020-04-28,16.83538
2020-04-29,17.55622
2020-04-30,12.74274
2020-05-01,11.62012
2020-05-02,10.05238
2020-05-03,11.32075
2020-05-04,14.20805
2020-05-05,11.00957
2020-05-06,14.03474
2020-05-07,12.67577
2020-05-08,11.80131
2020-05-09,9.91452
2020-05-10,10.61566
2020-05-11,14.28683
2020-05-12,13.35329
2020-05-13,14.24744
2020-05-14,12.89636
2020-05-15,13.81415
2020-05-16,10.3163
2020-05-17,10.58809
2020-05-18,16.31937
2020-05-19,15.1416
2020-05-20,13.86142
2020-05-21,13.12876
2020-05-22,14.1017
2020-05-23,11.42316
2020-05-24,12.35277
2020-05-25,14.99192
2020-05-26,14.21987
2020-05-27,13.60538
2020-05-28,13.25875
2020-05-29,12.46701
2020-05-30,10.82443
2020-05-31,12.60093
2020-06-01,14.64135
2020-06-02,15.87032
2020-06-03,15.31492
2020-06-04,13.82597
2020-06-05,21.19982
2020-06-06,11.81707
2020-06-07,12.47882
2020-06-08,14.30259
2020-06-09,15.5552
2020-06-10,15.66943
2020-06-11,14.40894
