시군구,계약면적(㎡),전월세구분,계약년월,보증금(만원),월세(만원)
서울특별시 동작구 상도1동,58.34,월세,202112,"3,000",96
서울특별시 동작구 상도1동,39,월세,202111,"1,000",95
서울특별시 동작구 상도1동,39,월세,202111,"1,000",95
서울특별시 동작구 상도1동,50,월세,202112,"1,000",95
서울특별시 동작구 상도동,38.63,월세,201606,"3,000",95
서울특별시 동작구 상도동,44.52,월세,201707,"3,000",95
서울특별시 동작구 상도동,111.9,월세,202110,"3,000",95
서울특별시 동작구 상도동,38.01,월세,202112,"3,000",95
서울특별시 동작구 상도동,61.89,월세,201709,"5,000",95
서울특별시 동작구 상도동,67.87,월세,201905,"5,000",95
서울특별시 동작구 상도동,84.9,월세,202009,"5,000",95
서울특별시 동작구 상도동,42.56,월세,202105,"6,000",94
서울특별시 동작구 상도동,46.26,월세,201706,"1,500",93
서울특별시 동작구 상도1동,38,월세,202109,500,92
서울특별시 동작구 흑석동,48.6,월세,201709,0,90
서울특별시 동작구 상도동,39.6,월세,202102,500,90
서울특별시 동작구 상도1동,38.66,월세,202109,500,90
서울특별시 동작구 흑석동,55,월세,202110,500,90
서울특별시 동작구 흑석동,59.4,월세,201612,800,90
서울특별시 동작구 상도동,44.76,월세,201702,"1,000",90
서울특별시 동작구 상도동,75.16,월세,201801,"1,000",90
서울특별시 동작구 흑석동,69.6,월세,201901,"1,000",90
서울특별시 동작구 흑석동,72.03,월세,201905,"1,000",90
서울특별시 동작구 상도동,47.37,월세,201906,"1,000",90
서울특별시 동작구 상도동,46.28,월세,201912,"1,000",90
서울특별시 동작구 상도동,75.76,월세,202001,"1,000",90
서울특별시 동작구 상도1동,36,월세,202011,"1,000",90
서울특별시 동작구 상도동,54.99,월세,202011,"1,000",90
서울특별시 동작구 상도동,76.31,월세,202103,"1,000",90
서울특별시 동작구 상도동,26.57,월세,202103,"1,000",90
서울특별시 동작구 흑석동,57.52,월세,202105,"1,000",90
